link,result,skill_bracket,lobby_type,game_mode,region,duration,match_date,hero,final_lvl,k,d,a,net,lh,dn,gpm,xpm,dmg,heal,bld,wards,final_items,team_k,team_d,team_a,team_net,team_lh,team_dn,team_gpm,team_xpm,team_dmg,team_heal,team_bld,team_wards
/matches/5409144747,won,Normal Skill,Normal,Turbo,SE Asia,34:21,2020-05-11,Sniper,30,8,5,16,32.4k,220,11,1.1k,1.0k,45.9k,-,4.5k,0,"Daedalus,Monkey King Bar,Black King Bar,Boots of Travel,Dragon Lance,Mjollnir,Paladin Sword",41,22,88,139.4k,590,51,4.5k,6.1k,125.0k,3.9k,25.8k,0
/matches/5409053516,lost,Normal Skill,Normal,Turbo,SE Asia,28:59,2020-05-11,Juggernaut,30,18,8,3,25.6k,119,7,1.1k,1.8k,37.3k,2.8k,3.1k,0,"Abyssal Blade,Boots of Travel,Wraith Band,Battle Fury,Aghanim's Scepter,Butterfly,Broom Handle,Clumsy Net",34,46,66,84.0k,322,13,3.7k,7.2k,135.9k,3.8k,15.9k,0
/matches/5408915928,won,Normal Skill,Normal,Turbo,SE Asia,19:36,2020-05-11,Sniper,26,10,1,8,20.8k,90,24,1.1k,1.5k,23.5k,-,4.5k,-/-,"Wraith Band,Wraith Band,Power Treads,Monkey King Bar,Mjollnir,Daedalus,Grove Bow",26,9,49,85.9k,409,42,4.7k,7.2k,73.9k,-,28.8k,6/6
/matches/5408859764,won,Normal Skill,Normal,Turbo,SE Asia,21:43,2020-05-11,Sniper,25,4,2,14,21.2k,118,31,967,1.3k,12.5k,-,4.2k,0,"Monkey King Bar,Wraith Band,Wraith Band,Mjollnir,Power Treads,Daedalus,Grove Bow",31,17,74,89.6k,319,40,4.2k,7.0k,80.1k,5.0k,12.8k,0
/matches/5408187085,lost,Normal Skill,Normal,All Pick,SE Asia,39:23,2020-05-10,Sniper,21,4,7,17,14.1k,177,19,387,517,31.4k,-,2.8k,0,"Hurricane Pike,Wraith Band,Wraith Band,Tango,Power Treads,Mjollnir,Imp Claw",30,32,74,66.6k,870,46,2.0k,2.7k,108.0k,-,11.0k,0
/matches/5408123599,won,Normal Skill,Normal,Turbo,SE Asia,24:39,2020-05-10,Juggernaut,30,7,1,20,24.2k,110,8,1.1k,1.5k,18.0k,13.3k,10.3k,-/-,"Wraith Band,Phase Boots,Battle Fury,Diffusal Blade,Butterfly,Butterfly,Clumsy Net",39,20,92,105.0k,413,21,4.8k,7.1k,89.2k,15.6k,22.6k,6/4
/matches/5407751477,lost,Normal Skill,Normal,Turbo,SE Asia,27:02,2020-05-10,Sniper,25,5,5,6,21.4k,143,12,789,1.3k,20.0k,-,626,0,"Daedalus,Mjollnir,Wraith Band,Power Treads,Dragon Lance,Silver Edge,Ring of Aquila",22,29,49,80.9k,493,25,3.1k,6.0k,76.1k,2.9k,821,0
/matches/5407590754,won,Normal Skill,Normal,Turbo,SE Asia,28:15,2020-05-10,Sniper,29,7,5,14,25.1k,106,20,917,1.4k,42.6k,-,2.3k,0,"Moon Shard,Moon Shard,Mask of Madness,Dragon Lance,Moon Shard,Mjollnir,Enchanted Quiver",38,17,82,120.9k,443,37,4.3k,7.7k,122.6k,10.7k,23.9k,0
/matches/5407247460,won,Normal Skill,Normal,Turbo,SE Asia,37:43,2020-05-10,Lion,28,1,11,9,14.7k,28,7,443,1.3k,10.9k,-,748,0,"Ghost Scepter,Aghanim's Scepter,Boots of Travel,Glimmer Cape,Dust of Appearance,Blink Dagger,Spell Prism",32,42,66,130.3k,541,26,3.9k,6.8k,158.5k,5.2k,24.7k,0
/matches/5407029492,won,Normal Skill,Normal,Turbo,SE Asia,24:54,2020-05-10,Sniper,26,5,3,16,18.7k,135,13,950,1.3k,20.8k,-,6.5k,0,"Boots of Travel,Moon Shard,Hyperstone,Mjollnir,Dragon Lance,Mask of Madness,Grove Bow",40,13,88,105.0k,403,47,4.5k,7.1k,89.9k,1.8k,18.4k,0
/matches/5406995019,won,Normal Skill,Normal,Turbo,SE Asia,21:53,2020-05-10,Sniper,23,4,0,7,21.7k,122,24,993,1.1k,26.4k,-,9.3k,0,"Monkey King Bar,Black King Bar,Wraith Band,Daedalus,Power Treads,Dragon Lance,Broom Handle",17,6,40,88.5k,420,57,4.1k,5.4k,68.5k,275,26.9k,0
/matches/5406847371,lost,Normal Skill,Normal,Turbo,SE Asia,41:05,2020-05-10,Weaver,30,11,9,6,30.6k,186,8,780,1.4k,17.3k,-,2.2k,0,"Black King Bar,Hurricane Pike,Desolator,Boots of Travel,Linken's Sphere,Daedalus,Prince's Knife,Imp Claw",29,41,59,107.1k,597,21,3.3k,7.2k,165.5k,-,4.1k,0
/matches/5406801531,lost,Normal Skill,Normal,Turbo,SE Asia,35:38,2020-05-10,Sniper,26,3,8,18,24.6k,121,10,837,1.0k,36.0k,-,1.3k,0,"Daedalus,Black King Bar,Silver Edge,Hurricane Pike,Monkey King Bar,Greater Faerie Fire,Grove Bow,Illusionist's Cape",28,36,61,88.7k,559,17,4.0k,5.9k,119.2k,5.4k,7.3k,0
/matches/5405696441,lost,Normal Skill,Normal,Turbo,SE Asia,32:14,2020-05-09,Sniper,29,14,7,9,24.9k,137,10,932,1.7k,41.8k,-,3.1k,0,"Hurricane Pike,Black King Bar,Monkey King Bar,Power Treads,Silver Edge,Imp Claw,Vampire Fangs",27,37,59,88.9k,466,23,3.0k,6.6k,116.0k,186,4.2k,0
/matches/5405248914,won,Normal Skill,Normal,Turbo,SE Asia,44:58,2020-05-09,Sniper,30,25,7,23,62.0k,200,20,1.5k,1.3k,69.9k,-,3.1k,0,"Divine Rapier,Silver Edge,Daedalus,Boots of Travel,Mjollnir,Monkey King Bar,Enchanted Quiver,Cheese",61,40,119,199.0k,653,42,5.4k,6.3k,196.3k,21.0k,29.3k,0
/matches/5405145895,won,Normal Skill,Normal,Turbo,SE Asia,17:48,2020-05-09,Sniper,22,7,0,10,16.3k,67,4,916,1.3k,24.9k,-,3.2k,0,"Monkey King Bar,Hyperstone,Dragon Lance,Power Treads,Wraith Band,Mjollnir,Pupil's Gift",28,2,49,75.2k,368,16,4.4k,6.6k,69.5k,400,15.1k,0
/matches/5405120576,won,Normal Skill,Normal,Turbo,SE Asia,16:13,2020-05-09,Sniper,19,5,6,15,12.5k,43,10,939,1.1k,16.1k,-,2.7k,0,"Tango,Wraith Band,Wraith Band,Dragon Lance,Mjollnir,Boots of Travel,Grove Bow",29,15,65,75.3k,258,25,4.9k,7.2k,67.0k,-,22.6k,0
